key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	x_size
Doken102	広形Ⅱ	34.26252147	129.3171749	253	Dohoko	1735670	1750279	3
Doken103	中広形	33.8553448	129.7086379	197	Dohoko	1693667	1719234	3
Doken104	中広形	33.14866929	131.0519207	197	Doka	1713755	1724712	3
Doken105	中広形	33.05119931	131.2426817	197	Doka	1713755	1724712	3
Doken106	中広形か？	33.58976915	131.4571952	197	Doka	1713755	1724712	3
Doken107	中広形	33.20918727	131.7596147	197	Doka	1713755	1724712	3
Doken108	平形Ⅱ	34.50204893	133.8529764	157	Doken	1713755	1724712	2
Doken109	平形Ⅰd	34.50204893	133.8529764	157	Doken	1702798	1713755	2
Doken110	細形	34.67445256	133.9244936	123	DokenChuC	1637054	1651664	2
Doken111	中細形Bx？	34.4232119	133.1600563	148	DokenChuC	1684536	1702798	2
Doken112	中広形	34.18517157	131.0309813	197	Dohoko	1693667	1719234	2
Doken113	広形？	33.96840829	132.110036	253	Dohoko	1713755	1750279	2
Doken114	平形か？	34.19679514	133.8084702	157	Doken	1702798	1724712	2
Doken115	中細形B“	34.20921337	133.7737456	148	DokenChuC	1684536	1702798	2
Doken116	平形Ⅰa	34.20921337	133.7737456	157	Doken	1702798	1713755	2
Doken117	平形Ⅱ	34.19899759	133.8496693	157	Doken	1713755	1724712	2
Doken118	中広形	34.34411806	134.0153893	197	Dohoko	1693667	1719234	2
Doken119	細形？	34.23294982	134.075993	123	DokenChuC	1637054	1651664	2
Doken120	中広形	34.02278043	132.9740631	197	Dohoko	1693667	1719234	2
Doken121	平形Ⅰb	33.92983213	133.043358	157	Doken	1702798	1713755	2
Doken122	平形Ⅱ	33.99068011	133.6371203	157	Doken	1713755	1724712	2
Doken123	細形Ⅱb	33.4391051	133.2145968	123	DokenChuC	1637054	1651664	2
Doken124	中広形	33.5432169	133.3929947	197	Dohoko	1693667	1719234	2
Doken125	中広形	33.26414445	133.115654	197	Dohoko	1693667	1719234	2
Doken126	中細形Ay	33.47989908	133.4115815	148	DokenChuC	1666274	1684536	2
Doken127	中広形か広形	33.41366978	133.285044	197	Dohoko	1693667	1724712	2
Doken128	中広形	33.51873929	133.5806596	197	Dohoko	1693667	1719234	2
Doken129	中広形	33.68267021	133.8538962	197	Dohoko	1693667	1719234	2
Doken130	細形2x	33.5368508	130.2415021	123	Dohoko	1637054	1651664	2
Doken131	細形Ⅰy	33.56052653	130.1892461	123	DokenChuC	1637054	1651664	2
Doken132	中広形a	33.58602714	130.4135969	197	Dohoko	1693667	1702798	2
Doken133	中細形B	33.37009579	130.7179827	148	Doka	1684536	1702798	2
Doken134	中広形	33.43213865	130.5788641	197	Doka	1713755	1724712	2
Doken135	中広形	33.33477405	130.615284	197	Dohoko	1693667	1719234	2
Doken136	中広形	33.16040545	130.5131537	197	Dohoko	1693667	1719234	2
Doken137	中広形	33.34256852	130.7798896	197	Doka	1713755	1724712	2
Doken138	中広形	33.25037423	130.7649579	197	Dohoko	1693667	1719234	2
Doken139	細形Ⅳ	33.66264553	130.8012353	123	DokenChuC	1637054	1651664	2
Doken140	中細形C	33.65528723	130.775695	148	Doka	1702798	1713755	2
Doken141	中広形	33.68983789	130.9601145	197	Doka	1713755	1724712	2
Doken142	広形	33.71569812	130.974067	253	Dohoko	1713755	1750279	2
Doken143	細形	33.52144186	130.3331585	123	DokenChuC	1637054	1651664	2
Doken144	中広形	33.53813234	130.4505514	197	Dohoko	1693667	1719234	2
Doken145	細形	33.47496441	130.5389079	123	DokenChuC	1637054	1651664	2
Doken146	中細形a	33.5105315	130.7588013	148	Doka	1666274	1684536	2
