key	ja-JP	longitude	latitude	first_year	last_year	texture	overall_length
Kofun270	宮内狐塚古墳	133.894786	35.484698	320	360	ZKoenFunFSgt2	114
Kofun271	月岡古墳	130.765831	33.345272	480	520	ZKoenFunFSgt3	114
Kofun272	下北方13号墳	131.41315	31.948756	480	520	ZKoenFunF2	113
Kofun273	不動山古墳	139.078711	36.304212	480	520	ZKoenFunFSgt2	112.8
Kofun274	元稲荷古墳	135.697636	34.945333	240	280	ZKohoFunFSgt	112.8
Kofun275	前塚古墳	135.592519	34.852472	380	420	ZKoenFunFSgt	112.8
Kofun276	柳本大塚古墳	135.841908	34.550871	280	320	ZKoenFunSgt	112.8
Kofun277	新田原48号墳	131.427814	32.099267	440	480	ZKoenFunSgt2	112.8
Kofun278	小見真観寺古墳	139.476847	36.159621	560	600	ZKoenFun2	112
Kofun279	塚山古墳	139.860969	36.506381	420	440	ZKoenFunSgt	111.6
Kofun280	前二子古墳	139.1963	36.386631	520	560	ZKoenFunFSgt2	111.6
Kofun281	油殿1号墳	140.292658	35.37361	320	360	ZKoenFunSgt	111.6
Kofun282	纒向石塚古墳	135.836625	34.54631	200	240	MakimukuFSgt	111.6
Kofun283	佐味田宝塚古墳	135.726703	34.556726	320	360	ZKoenFunF2	111.5
Kofun284	長目塚古墳	131.10645	32.967609	360	380	ZKoenFunF	111.5
Kofun285	九合村60号墳	139.383175	36.25671	560	600	ZKoenFun	111
Kofun286	宝塚1号墳	136.515325	34.549957	360	380	ZKoenFunF	111
Kofun287	星神社古墳	140.483067	36.511789	320	360	ZKoenFunSgt	110.4
Kofun288	岡銚子塚古墳	138.643869	35.600549	320	360	ZKoenFunFSgt	110.4
Kofun289	伊居太古墳	135.434022	34.747823	420	440	ZKoenFunSgt	110.4
Kofun290	山代二子塚古墳	133.087514	35.439384	540	560	ZKohoFunFSgt2	110.4
Kofun291	割地山古墳	139.379442	36.260898	520	560	ZKoenFunF	110
Kofun292	谷津山1号墳	138.401783	34.983322	320	360	ZKoenFunF	110
Kofun293	平尾城山古墳	135.816992	34.768425	280	320	ZKoenFun	110
Kofun294	禁野車塚古墳	135.657386	34.810747	320	360	ZKoenFunF	110
Kofun295	玉手山1号墳	135.631286	34.567826	280	320	ZKoenFunF	110
Kofun296	茨木将軍山古墳	135.5575	34.844997	320	360	ZKoenFunF	110
Kofun297	三陵墓東古墳	135.958547	34.594832	420	440	ZKoenFunF3	110
Kofun298	燈籠山古墳	135.849017	34.567409	320	360	ZKoenFun2	110
Kofun299	石塚山古墳	130.979817	33.775518	240	280	ZKoenFunF	110
Kofun300	天神山古墳	130.63175	32.691747	999999	999999	ZKoenFunF	110
Kofun301	菅原神社古墳	131.678408	32.609966	380	420	ZKoenFun	110
Kofun302	船宮古墳	134.804347	35.260691	420	440	ZKoenFunFSgt	109.2
Kofun303	塚堂古墳	130.773561	33.345952	520	560	ZKoenFunFSgt	109.2
Kofun304	小角田前2号墳	139.276808	36.279003	560	600	ZKoenFunSgt	109.08
Kofun305	府中愛宕山古墳	140.293244	36.170557	520	560	ZKoenFunSgt	108.72
Kofun306	宮中野23号墳	140.609875	35.971644	240	280	ZKoenFunSgt	108
Kofun307	上淵名雙児山古墳	139.252378	36.313848	560	600	ZKoenFunSgt	108
Kofun308	上両家二子山古墳	139.113231	36.356375	560	600	ZKoenFunFSgt	108
Kofun309	穂積稲荷山古墳	139.038533	36.413581	560	600	ZKoenFunFSgt	108
Kofun310	元島名将軍塚古墳	139.068917	36.323386	280	320	ZKohoFunFSgt	108
Kofun311	明治村100号墳	138.996467	36.43947	999999	999999	ZKoenFunSgt	108
Kofun312	上小塙稲荷山古墳	138.978394	36.359353	999999	999999	ZKoenFunFSgt	108
Kofun313	将軍山古墳	139.481361	36.127491	560	600	ZKoenFunSgt	108
Kofun314	西ノ台古墳	140.387764	35.614012	560	590	ZKoenFunSgt	108
Kofun315	潤井戸高野前古墳	140.179581	35.517688	420	440	ZKoenFunSgt	108
Kofun316	林之腰古墳	136.028339	35.0691	999999	999999	ZKoenFunFSgt	108
Kofun317	忍岡古墳	135.641636	34.747326	320	360	ZKoenFunSgt2	108
