ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
高塚２号墳	37.49153602	140.9754651	196	1910986	1925596	FunaSekkan	FunaSekkan
広諏訪原方形周溝墓	32.96213536	130.684638	196	99999999	99999999	IeSekkanRed	IeSekkan
千田浦大間3号方形周溝墓	32.96213536	130.684638	196	99999999	99999999	IeSekkan	IeSekkan
大坊古墳	32.948963	130.570303	196	1910986	1925596	IeSekkanRed	IeSekkan
高安　楽音寺5号墳	34.64193659	135.6412671	196	1937649	1951893	IeSekkan	IeSekkan
寺前1号墳	35.38651643	136.5705346	196	1937649	1951893	IeSekkan	IeSekkan
光明寺古墳群	34.93732041	135.6767608	195	99999999	99999999	IeSekkanBrown	IeSekkan
横間1号地下式横穴墓	31.34193601	130.9556327	194	99999999	99999999	IeSekkan	IeSekkan
（宝林寺）	34.83026209	134.5523488	194	99999999	99999999	IeSekkanBrown	IeSekkan
狐塚古墳	34.53376545	135.8461374	194	1925596	1947510	IeSekkanYellowGreen	IeSekkan
（阿弥陀寺）	34.98991124	136.0385372	194	99999999	99999999	IeSekkan	IeSekkan
大向愛宕山古墳	35.64290751	134.8967205	193	99999999	99999999	FunaSekkan	FunaSekkan
白鳥塚古墳	34.82082424	135.3673525	193	99999999	99999999	IeSekkanBrown	IeSekkan
宮塚古墳	34.442742	135.772267	193	1910986	1925596	IeSekkanYellowGreen	IeSekkan
（大久保）	32.97709529	130.6053066	192	1874462	1881767	FunaSekkanRed	FunaSekkan
千田浦大間	32.96213536	130.684638	192	99999999	99999999	IeSekkanRed	IeSekkan
岩屋Ⅰ区5号墳	35.41409992	133.0115061	192	1925596	1947510	IeSekkanYellow	IeSekkan
島田池1号横穴墓	35.42986815	133.1286044	192	1937649	1951893	IeSekkan	IeSekkan
飛鳥	34.53439971	135.6413163	192	99999999	99999999	IeSekkan	IeSekkan
（中山寺）	34.8217958	135.3676863	191	99999999	99999999	FunaSekkanBrown	FunaSekkan
今泉口八幡山古墳	36.329584	139.378106	191	1925596	1947510	IeSekkan	IeSekkan
向野田古墳	32.663394	130.673733	190	1852547	1859852	FunaSekkanRed	FunaSekkan
永安寺東古墳	32.94767713	130.5730932	190	1925596	1951893	IeSekkanRed	IeSekkan
古城山3号横穴墓	35.42986815	133.1286044	190	1925596	1947510	IeSekkan	IeSekkan
飯梨岩舟古墳	35.40213945	133.1896636	190	1951893	1966138	IeSekkanRedPurple	IeSekkan
矢田Ⅱ群2号横穴墓	35.38683458	133.212311	190	1925596	1947510	IeSekkanRedPurple	IeSekkan
高田25号墳	35.46190141	133.5070139	190	1925596	1951893	IeSekkan	IeSekkan
京塚古墳	34.5511964	135.5002086	190	99999999	99999999	IeSekkan	IeSekkan
走田7号墳	34.92315882	135.6746289	190	99999999	99999999	IeSekkanBrown	IeSekkan
(土田渡)東山古墳	35.43155882	137.0209074	190	1937649	1951893	IeSekkan	IeSekkan
真名田古墳	35.43476035	137.1176376	190	99999999	99999999	IeSekkan	IeSekkan
（内山王子谷池横）	34.85424441	134.5698957	189	99999999	99999999	IeSekkanBrown	IeSekkan
（蓮華寺）	33.87919725	132.7559293	188	99999999	99999999	FunaSekkanRed	FunaSekkan
西牧	33.00436135	130.6505983	188	99999999	99999999	IeSekkan	IeSekkan
下倉2号横穴墓	35.39861098	132.9209632	188	1925596	1951893	IeSekkanYellow	IeSekkan
烏土塚古墳	34.617789	135.702406	188	1925596	1947510	IeSekkan	IeSekkan
永洞古墳	35.38279707	136.9566592	188	99999999	99999999	IeSekkan	IeSekkan
高塚１号墳	37.49153602	140.9754651	187	1910986	1925596	FunaSekkan	FunaSekkan
竜王山古墳	35.00709643	136.012953	187	1925596	1947510	IeSekkan	IeSekkan
（善勝寺裏山）	34.99872021	136.0219382	187	99999999	99999999	IeSekkan	IeSekkan
十王免2号横穴墓	35.43758883	133.0916347	186	1925596	1947510	IeSekkan	IeSekkan
（西蓮寺）	34.85083398	134.6729777	186	99999999	99999999	IeSekkanBrown	IeSekkan
