key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu329	トマリボッケシ	토마리포켓	Tomari-po-kes	46.9149	141.9955
SAinu330	トウヘンナイ	토헨내	Tohennay	46.9253	141.999
SAinu331	ヌシオイ	누시외	Nusioy	46.9298	143.0962
SAinu332	スウクシ	숰시	Suksi	46.9377	143.1002
SAinu333	ピロチ	피로치	Piroci	46.942	142.0047
SAinu334	イタダクスナイ	오타탘수내	Otadaksunay	46.9437	143.0958
SAinu335	テモトマリ	테모토마리	Temotomari	46.9576	142.0087
SAinu336	ススウシ	수수시	Sususi	46.9585	143.0847
SAinu337	ススヤ	수수야	Susuya	46.9686	142.8467
SAinu338	チシコマナイボ	치시코마내보	Cisikomanaybo	46.9712	142.0101
SAinu339	スマ	수마	Suma	46.9715	143.0862
SAinu340	アケブシ	아케부시	Akebusi	46.9763	142.017
SAinu341	ウエンコタン	웬코탄	Wen-kotan	46.9809	143.0719
SAinu342	キトウシナイポ	키토우시내포	Kito-usi-nay-po	46.9919	142.0223
SAinu343	キトウシナイ	키토시내	Kitosinay	46.9924	142.0226
SAinu344	トマオナイ	토마오내	Tomaonay	47.0006	142.0261
SAinu345	チョウナイ	치요내	Ciyonay	47.0032	143.0618
SAinu346	セオマス	세오맛	Seomas	47.0037	142.9613
SAinu347	チヨルヤナイ	치요랴내	Ciyoryanay	47.0038	143.0614
SAinu348	ススヤ	수수야	Susuya	47.0053	142.8403
SAinu349	テイ	테	Tey	47.0139	142.0352
SAinu350	シノススヤ	시노수수야	Sinosusuya	47.0221	142.8748
SAinu351	マタルクシナイ	마탈쿠시내	Matarkusinay	47.0263	142.0288
SAinu352	コヌシベツ	코누시펱	Konusipet	47.0268	143.0525
SAinu353	コヌシベツ	코누시펱	Konusipet	47.029	143.051
SAinu354	ポントマリ	폰토마리	Pon-tomari	47.0347	142.0357
SAinu355	モイレトマリ	모이레토마리	Moire-tomari	47.0401	143.0445
SAinu356	ススヤ	수수야	Susuya	47.0462	142.6841
SAinu357	マウカ	마우카	Mauka	47.0463	142.0463
SAinu358	オプサキ	옾사키	Opsaki	47.0577	143.0314
SAinu359	アラクワイ	아라쿠왜	Arakuway	47.0634	142.0534
SAinu360	クメコマイ	쿠메코매	Kumekomay	47.0713	142.0547
SAinu361	フシナイ	후시내	Husinay	47.075	142.0559
SAinu362	ワッカヌプリ	와까누푸리	Wakka-nupuri	47.0766	142.5384
SAinu363	ウエントマリ	웬토마리	Wen-tomari	47.08	142.0587
SAinu364	チツシナイボ	치투시내보	Citusinaybo	47.0853	142.0579
SAinu365	カルマイ	칼매	Karmay	47.0905	142.0574
SAinu366	カルマイ	칼매	Karmay	47.0934	142.0704
SAinu367	シマコタン	시마코탄	Simakotan	47.1026	142.9686
SAinu368	ホロヘツ	포로펱	Poro-pet	47.1074	142.0625
SAinu369	エナンケネナイボ	에난케네내포	Enankenenaypo	47.1115	142.0595
SAinu370	ポロトマリ	포로토마리	Poro-tomari	47.1118	142.0587
SAinu371	シユマコタン	수마오코탄	Suma-o-kotan	47.1171	143.0387
SAinu372	エンルムエトリ	엔루메토리	Enrumetori	47.1215	142.0568
SAinu373	ポンコタン	폰코탄	Pon-kotan	47.1233	142.0556
SAinu374	ポロスマヤ	포롯마야	Porosmaya	47.1267	142.0568
SAinu375	ヤロイ	야뢰	Yaroy	47.1314	142.057
SAinu376	ノトロ	노토로	Not-oro	47.1336	143.0081
SAinu377	ラクマカ	랔마카	Rakmaka	47.1388	142.0592
SAinu378	オンネナイ	온네내	Onne-nay	47.1398	142.0587
SAinu379	ノトロ	노토로	Not-oro	47.1466	143.0422
SAinu380	シュマルシトマリ	시유말시토마리	Siyumarsitomari	47.1533	142.0569
SAinu381	トマリポ	토마리포	Tomari-po	47.1569	142.0579
SAinu382	ウラントマリ	우란토마리	Urantomari	47.1598	142.0591
SAinu383	アナヌナイ	아나누내	Ananunay	47.1629	143.0291
SAinu384	トンナイケシ	톤내케시	Tonnaykesi	47.177	142.0498
SAinu385	トーシャム	토삼	To-sam	47.1887	142.0518
SAinu386	アヤウシウワキ	아야우시우와키	Ayausiuwaki	47.1933	143.0266
SAinu387	ポン	폰	Pon	47.1952	142.1
SAinu388	モシララボ	모시라라포	Mosirarapo	47.1993	142.05
SAinu389	トーキタイウツシリ	토키타유투시리	Tokitayutusiri	47.2126	142.1078
SAinu390	ソーヤナイボ	소야내포	Soya-nay-po	47.2133	142.0436
SAinu391	イヌヌシナイ	이누누시내	Inunusinay	47.2168	143.0158
SAinu392	ヲコナイボ	오코내포	Okonaypo	47.2241	142.0403
SAinu393	コタヌンナイボ	코타눈내포	Kotanunnaypo	47.2321	142.0333
SAinu394	フンベトマリ	훈페토마리	Hunpe-tomari	47.2375	143.0124
SAinu395	ノツサンナイ	놑삼내	Not-sam-nay	47.2468	143.0081
SAinu396	キッチウシ	키찌우시	Kicciusi	47.2469	142.0254
