key	value
Roma1114	Selinous
Roma1115	Geronthrai
Roma1117	Selinous
Roma1118	Geronthrai
Roma1119	Selinous
Roma1120	Geronthrai
Roma1121	Geronthrai
Roma1122	Geronthrai
Roma1123	Selinous
Roma1124	Epidauros Limera
Roma1125	Palaia/Pleiai
Roma1126	Zarax
Roma1127	Geronthrai
Roma1128	Selinous
Roma1129	Geronthrai
Roma1130	Selinous
Roma1131	Selinous
Roma1132	Loukou
Roma1133	Methana/Anthana?
Roma1134	Astron
Roma1135	Kalamai
Roma1136	Pherai
Roma1138	Messene
Roma1139	Samikon/Samia
Roma1140	Herakleia
Roma1141	Skillous
